famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN07	25.1126109540081	0.163044125942761	1103	24.7926992944369	25.4325226135793	 A    
WGN45	27.1780090693646	0.1846353052743	1103	26.8157329886767	27.5402851500525	  B   
WGN15	27.2124629889356	0.165543660951701	1103	26.8876469491039	27.5372790287673	  B   
WGN38	27.2410718599032	0.184806465833993	1103	26.8784599421627	27.6036837776437	  BC  
WGN46	27.539972899729	0.16624705900454	1103	27.2137767105842	27.8661690888737	  BC  
WGN26	27.5451124035933	0.176612725501368	1103	27.1985775634706	27.8916472437161	  BC  
WGN36	27.9325753789771	0.168726109443992	1103	27.6015150026949	28.2636357552593	  BCD 
WGN55	27.9704274020397	0.163523505634566	1103	27.6495751434013	28.291279660678	   CDE
WGN63	28.326123777542	0.165616505245341	1103	28.0011648086797	28.6510827464043	    DE
WGN39	28.6829182961426	0.162909276718146	1103	28.3632712265344	29.0025653657509	     E
