famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN15	0.378674053027355	0.0152320319867918	948	0.348781654464888	0.408566451589823	 A   
WGN07	0.394132977998383	0.0151720700658224	948	0.364358252878418	0.423907703118349	 AB  
WGN55	0.422164182446885	0.0148807581661369	948	0.392961148052027	0.451367216841743	 ABC 
WGN38	0.430051561814883	0.0165542213040673	948	0.397564407012321	0.462538716617444	 ABC 
WGN26	0.439352922290838	0.0156078972012066	948	0.408722899699955	0.469982944881722	 ABC 
WGN36	0.44252069812483	0.0156160559483633	948	0.411874664241297	0.473166732008362	 ABC 
WGN45	0.449732091597459	0.0159406526835516	948	0.418449046513534	0.481015136681384	  BC 
WGN63	0.456804354021462	0.0155369833738559	948	0.426313497655583	0.48729521038734	  BC 
WGN39	0.469223675499173	0.0149039700834375	948	0.439975088424019	0.498472262574327	   C 
WGN46	0.546601852107285	0.0149897439607303	948	0.51718493641199	0.57601876780258	    D
