famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN15	1.54460251103286	0.011129249402506	1109	1.52276575079617	1.56643927126955	 A      
WGN07	1.57593342415782	0.0115824626454203	1109	1.55320741177449	1.59865943654115	 AB     
WGN45	1.60515849345437	0.0120315704604404	1109	1.58155128420661	1.62876570270213	  BC    
WGN55	1.60527824483616	0.0113437742653928	1109	1.58302056420976	1.62753592546256	  BC    
WGN26	1.63506063544803	0.0118368529533645	1109	1.61183548247038	1.65828578842568	   CD   
WGN39	1.67413127702377	0.01134346692308	1109	1.65187419943538	1.69638835461216	    DE  
WGN38	1.69054734457178	0.0127058249359911	1109	1.66561717698347	1.7154775121601	     EF 
WGN63	1.71985675942114	0.0116637394713395	1109	1.69697127333962	1.74274224550267	     EF 
WGN36	1.73479145108782	0.0123216858399967	1109	1.71061500489018	1.75896789728547	      F 
WGN46	1.87477376303632	0.0115325560079815	1109	1.8521456727353	1.89740185333734	       G
