famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN07	1.31357467092529	0.0114758988407371	1102	1.29105759168918	1.33609175016141	 A    
WGN15	1.32285341752283	0.0116543577730412	1102	1.29998618062369	1.34572065442196	 A    
WGN45	1.32448488723441	0.0130175799567669	1102	1.29894284617803	1.35002692829079	 A    
WGN26	1.34416516037566	0.0125295925887244	1102	1.31958060860922	1.3687497121421	 A    
WGN36	1.47060369923979	0.0120231101874947	1102	1.44701292621944	1.49419447226014	  B   
WGN38	1.49283110605685	0.0130600627494822	1102	1.46720570870542	1.51845650340828	  BC  
WGN55	1.50678192583039	0.0115126976281902	1102	1.48419264299399	1.5293712086668	  BC  
WGN63	1.52922338618624	0.0117035336990124	1102	1.50625966026808	1.5521871121044	   CD 
WGN39	1.57507846978468	0.0115126976281902	1102	1.55248918694827	1.59766775262108	    DE
WGN46	1.60645207064745	0.0117928876711385	1102	1.58331302160225	1.62959111969266	     E
