famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN07	7.03551082361619	0.024481680281715	1136	6.9874764341121	7.08354521312028	 A      
WGN45	7.62239773796848	0.0264186867786494	1136	7.57056283626609	7.67423263967088	  B     
WGN55	7.65918003378424	0.0243762306297749	1136	7.61135254223797	7.7070075253305	  B     
WGN46	7.72197839128785	0.0249705194383524	1136	7.67298487274586	7.77097190982984	  BC    
WGN15	7.77954329446468	0.024579141740871	1136	7.73131768027189	7.82776890865748	   CD   
WGN38	7.87722772277225	0.0275886251188298	1136	7.82309733835456	7.93135810718993	    DE  
WGN36	7.99537386649673	0.0254400311949067	1136	7.94545914032799	8.04528859266546	     E  
WGN39	8.33296303276511	0.0242820491236776	1136	8.28532033046108	8.38060573506914	      F 
WGN26	8.34162505360617	0.0256757398772174	1136	8.29124785417067	8.39200225304166	      F 
WGN63	8.68788639337579	0.0249711951710523	1136	8.63889154900946	8.73688123774213	       G
