famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN38	39.6166047492403	0.503983055511032	1095	38.6277230662714	40.6054864322093	 A   
WGN63	41.4049620974707	0.455095713051783	1095	40.5120038725592	42.2979203223822	 AB  
WGN36	42.057914205404	0.463967717853515	1095	41.147547928885	42.968280481923	  B  
WGN26	42.9421165107044	0.48539904975101	1095	41.9896991149596	43.8945339064491	  BC 
WGN45	42.986508531935	0.502942267203315	1095	41.9996690138406	43.9733480500294	  BC 
WGN07	43.1409312657285	0.444620124214864	1095	42.2685275372546	44.0133349942023	  BC 
WGN15	44.4375854764787	0.449737552386405	1095	43.5551406743469	45.3200302786105	   C 
WGN46	44.8969931718266	0.455083130832866	1095	44.0040596348995	45.7899267087537	   C 
WGN55	47.2558918074915	0.445939624850553	1095	46.3808990435431	48.1308845714399	    D
WGN39	47.9576757169791	0.447605227921981	1095	47.0794148186154	48.8359366153427	    D
