famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN38	50.1097895855245	0.861610737656914	1075	48.4191600933501	51.8004190776988	 A    
WGN63	53.9624548236842	0.802024172903567	1075	52.3887444915278	55.5361651558405	  B   
WGN15	54.6822477157633	0.778382543823172	1075	53.1549263544258	56.2095690771008	  BC  
WGN07	55.1756591625234	0.772294990003933	1075	53.6602826361005	56.6910356889462	  BCD 
WGN26	55.3998866445125	0.81300334472627	1075	53.8046332757251	56.9951400133	  BCD 
WGN39	55.4464321400871	0.774805348177287	1075	53.9261298561518	56.9667344240224	  BCD 
WGN36	56.9198065166243	0.800709417170577	1075	55.3486759629225	58.4909370703261	  BCD 
WGN45	57.7596570905155	0.833747462397098	1075	56.1237001701233	59.3956140109077	   CD 
WGN46	58.3199342278649	0.796127838138741	1075	56.7577935257207	59.8820749300091	    DE
WGN55	61.8316151121609	0.774351927346428	1075	60.312202518425	63.3510277058967	     E
