"merge_col","threshability","floret_score_mean","rachis_breaks_mean"
"WGN63C59_STP_2018_1",80,1,0
"WGN36C57_STP_2018_1",NA,NA,NA
"WGN55D48_STP_2018_1",85,1,0
"WGN38C35_STP_2018_1",98,0,2
"WGN26C58_STP_2018_1",70,0,0
"WGN45D43_STP_2018_1",97,3,1
"WGN55C59_STP_2018_1",85,1,0
"WGN38C42_STP_2018_1",75,0,1
"WGN26C28_STP_2018_1",97,0,0
"WGN55C58_STP_2018_1",95,0,0
"WGN36C37_STP_2018_1",90,0,1
"WGN39D04_STP_2018_1",35,5,0
"WGN15C09_STP_2018_1",75,1,0
"WGN63D35_STP_2018_1",90,3,0
"WGN07D48_STP_2018_1",100,0,0
"WGN55C57_STP_2018_1",85,2,1
"WGN45D24_STP_2018_1",NA,NA,NA
"WGN26P01_STP_2018_1",80,6,0
"WGN15D58_STP_2018_1",85,3,0
"WGN38D33_STP_2018_1",98,1,0
"WGN39D30_STP_2018_1",75,1,0
"WGN15C23_STP_2018_1",20,1,0
"WGN55D23_STP_2018_1",80,0,0
"WGN26D35_STP_2018_1",95,0,0
"WGN46C55_STP_2018_1",85,3,1
"WGN39C50_STP_2018_1",80,1,0
"WGN26C45_STP_2018_1",99,0,2
"WGN36D29_STP_2018_1",75,1,1
"WGN36C34_STP_2018_1",NA,NA,NA
"WGN38C70_STP_2018_1",97,0,0
"WGN26C13_STP_2018_1",99,0,0
"WGN63D53_STP_2018_1",85,0,1
"WGN38C31_STP_2018_1",95,0,1
"WGN63C44_STP_2018_1",45,1,0
"WGN15C22_STP_2018_1",85,2,0
"WGN46D19_STP_2018_1",88,0,0
"WGN55D24_STP_2018_1",89,2,0
"WGN55C39_STP_2018_1",80,2,0
"WGN07D15_STP_2018_1",98,0,0
"WGN63C37_STP_2018_1",70,2,0
"WGN46D24_STP_2018_1",94,0,0
"WGN26D25_STP_2018_1",40,1,0
"WGN07D10_STP_2018_1",95,0,0
"WGN45C05_STP_2018_1",93,1,1
"WGN45D25_STP_2018_1",97,0,0
"WGN07D52_STP_2018_1",98,0,0
"WGN45C30_STP_2018_1",98,1,3
"WGN46C59_STP_2018_1",95,0,1
"WGN55C40_STP_2018_1",96,0,0
"WGN38C54_STP_2018_1",80,0,1
"WGN15D62_STP_2018_1",85,0,1
"WGN39C26_STP_2018_1",80,3,1
"WGN36D24_STP_2018_1",95,1,1
"WGN36C28_STP_2018_1",95,0,0
"WGN38C27_STP_2018_1",99,0,1
"WGN07C23_STP_2018_1",NA,NA,NA
"WGN59P01_STP_2018_1",98,0,0
"WGN39C62_STP_2018_1",80,2,1
"WGN26D52_STP_2018_1",95,1,0
"WGN39D27_STP_2018_1",40,3,0
"WGN36D45_STP_2018_1",90,0,0
"WGN39C22_STP_2018_1",97,1,1
"WGN15C40_STP_2018_1",95,1,0
"WGN26C46_STP_2018_1",94,2,0
"WGN45D16_STP_2018_1",95,1,0
"WGN46C02_STP_2018_1",97,0,0
"WGN26C25_STP_2018_1",60,1,0
"WGN46D37_STP_2018_1",99,0,0
"WGN38C52_STP_2018_1",85,0,0
"WGN38D32_STP_2018_1",99,0,0
"WGN55C31_STP_2018_1",97,1,0
"WGN55D21_STP_2018_1",98,1,0
"WGN63C26_STP_2018_1",NA,NA,NA
"WGN63D65_STP_2018_1",70,1,0
"WGN15D30_STP_2018_1",99,0,1
"WGN45D65_STP_2018_1",NA,NA,NA
"WGN07C34_STP_2018_1",90,2,1
"WGN26D26_STP_2018_1",98,0,1
"WGN63C16_STP_2018_1",70,0,2
"WGN63D30_STP_2018_1",85,2,1
"WGN07D02_STP_2018_1",90,0,1
"WGN36C20_STP_2018_1",90,0,1
"WGN39D53_STP_2018_1",98,1,2
"WGN45C28_STP_2018_1",94,1,3
"WGN15D05_STP_2018_1",70,1,0
"WGN07C12_STP_2018_1",95,2,0
"WGN36D36_STP_2018_1",75,1,1
"WGN39C52_STP_2018_1",NA,NA,NA
"WGN46C53_STP_2018_1",90,0,1
"WGN36C53_STP_2018_1",85,0,2
"WGN55C14_STP_2018_1",95,1,1
"WGN55D55_STP_2018_1",96,1,0
"WGN15D60_STP_2018_1",95,4,1
"WGN26C11_STP_2018_1",90,1,1
"WGN38C21_STP_2018_1",55,1,1
"WGN59P01_STP_2018_1",99,0,2
"WGN15C21_STP_2018_1",85,0,2
"WGN46P01_STP_2018_1",98,0,1
"WGN07D42_STP_2018_1",99,2,0
"WGN46D23_STP_2018_1",95,2,1
"WGN38C28_STP_2018_1",97,0,0
"WGN26C08_STP_2018_1",95,1,1
"WGN45C22_STP_2018_1",99,0,1
"WGN07C06_STP_2018_1",98,0,0
"WGN36D23_STP_2018_1",90,1,0
"WGN45C04_STP_2018_1",80,0,0
"WGN15C05_STP_2018_1",55,0,0
"WGN38C78_STP_2018_1",96,0,1
"WGN39C29_STP_2018_1",90,1,1
"WGN38D30_STP_2018_1",100,0,0
"WGN55D27_STP_2018_1",85,0,1
"WGN07D50_STP_2018_1",97,0,0
"WGN46C47_STP_2018_1",97,0,0
"WGN39D19_STP_2018_1",95,0,0
"WGN39C55_STP_2018_1",75,3,0
"WGN36C45_STP_2018_1",90,0,0
"WGN59P01_STP_2018_1",97,0,1
"WGN55C13_STP_2018_1",97,1,0
"WGN07C10_STP_2018_1",NA,NA,NA
"WGN55D30_STP_2018_1",90,2,0
"WGN63D60_STP_2018_1",90,1,0
"WGN15D12_STP_2018_1",65,0,0
"WGN38P01_STP_2018_1",NA,NA,NA
"WGN07D05_STP_2018_1",99,0,0
"WGN39D11_STP_2018_1",55,3,1
"WGN63C49_STP_2018_1",80,2,1
"WGN15D63_STP_2018_1",60,0,0
"WGN39D20_STP_2018_1",80,1,1
"WGN45D50_STP_2018_1",95,1,1
"WGN36C33_STP_2018_1",95,0,1
"WGN26D33_STP_2018_1",90,1,0
"WGN46C45_STP_2018_1",97,1,1
"WGN26D31_STP_2018_1",90,0,1
"WGN45D23_STP_2018_1",98,1,1
"WGN46D44_STP_2018_1",97,0,1
"WGN26C43_STP_2018_1",99,0,0
"WGN46D05_STP_2018_1",97,0,0
"WGN36D15_STP_2018_1",95,0,1
"WGN15C17_STP_2018_1",85,1,0
"WGN63C47_STP_2018_1",94,1,0
"WGN55C65_STP_2018_1",98,0,1
"WGN39D12_STP_2018_1",80,3,0
"WGN38D26_STP_2018_1",95,1,0
"WGN46C14_STP_2018_1",90,0,2
"WGN26D64_STP_2018_1",95,1,1
"WGN45D34_STP_2018_1",90,1,1
"WGN39D56_STP_2018_1",65,4,1
"WGN59P01_STP_2018_1",98,0,4
"WGN36D44_STP_2018_1",90,3,1
"WGN45C19_STP_2018_1",93,2,0
"WGN26C24_STP_2018_1",90,2,0
"WGN45C48_STP_2018_1",85,1,0
"WGN15D39_STP_2018_1",100,0,1
"WGN38D27_STP_2018_1",96,0,1
"WGN55C09_STP_2018_1",94,6,1
"WGN26D19_STP_2018_1",95,1,1
"WGN36P01_STP_2018_1",85,2,1
"WGN07C39_STP_2018_1",95,1,0
"WGN55D64_STP_2018_1",90,1,1
"WGN39C56_STP_2018_1",85,4,1
"WGN07C27_STP_2018_1",94,1,1
"WGN38C10_STP_2018_1",94,0,0
"WGN46D42_STP_2018_1",99,0,0
"WGN55C48_STP_2018_1",96,2,1
"WGN15D17_STP_2018_1",75,0,1
"WGN46D13_STP_2018_1",85,2,1
"WGN38C59_STP_2018_1",85,1,1
"WGN55D15_STP_2018_1",90,3,2
"WGN63C19_STP_2018_1",80,1,0
"WGN15C26_STP_2018_1",99,0,1
"WGN36C19_STP_2018_1",99,1,0
"WGN07D24_STP_2018_1",100,1,0
"WGN36D03_STP_2018_1",90,1,1
"WGN45D64_STP_2018_1",85,1,1
"WGN63C43_STP_2018_1",55,5,1
"WGN36C62_STP_2018_1",85,1,1
"WGN46C50_STP_2018_1",85,0,0
"WGN15C34_STP_2018_1",75,1,2
"WGN39C18_STP_2018_1",65,5,2
"WGN63D14_STP_2018_1",85,3,0
"WGN39D33_STP_2018_1",85,5,0
"WGN07D43_STP_2018_1",99,1,0
"WGN26C50_STP_2018_1",80,3,1
"WGN63D57_STP_2018_1",60,2,1
"WGN46D46_STP_2018_1",NA,NA,NA
"WGN46C56_STP_2018_1",90,1,1
"WGN46C01_STP_2018_1",98,0,0
"WGN15D21_STP_2018_1",95,0,0
"WGN63D05_STP_2018_1",94,1,1
"WGN39D57_STP_2018_1",95,3,1
"WGN63C28_STP_2018_1",90,2,1
"WGN45D01_STP_2018_1",90,1,1
"WGN39C16_STP_2018_1",85,5,1
"WGN15C53_STP_2018_1",NA,NA,NA
"WGN46D26_STP_2018_1",99,0,0
"WGN26D21_STP_2018_1",95,1,1
"WGN26C26_STP_2018_1",90,0,2
"WGN55C23_STP_2018_1",95,0,1
"WGN15D42_STP_2018_1",95,0,1
"WGN55P01_STP_2018_1",90,1,0
"WGN26D61_STP_2018_1",85,1,1
"WGN63D44_STP_2018_1",90,0,3
"WGN55D03_STP_2018_1",90,1,1
"WGN45C55_STP_2018_1",85,0,0
"WGN55C02_STP_2018_1",85,3,1
"WGN07D46_STP_2018_1",95,1,1
"WGN45D51_STP_2018_1",96,1,1
"WGN07C51_STP_2018_1",98,1,1
"WGN39D36_STP_2018_1",55,3,2
"WGN15C38_STP_2018_1",40,2,0
"WGN59P01_STP_2018_1",98,0,1
"WGN26C56_STP_2018_1",81,1,0
"WGN55D54_STP_2018_1",96,0,0
"WGN07D21_STP_2018_1",98,0,1
"WGN45C36_STP_2018_1",95,1,3
"WGN36C58_STP_2018_1",NA,NA,NA
"WGN36D53_STP_2018_1",50,3,2
"WGN07C49_STP_2018_1",97,0,0
"WGN07C50_STP_2018_1",95,1,0
"WGN39C43_STP_2018_1",55,4,0
"WGN38D16_STP_2018_1",96,2,3
"WGN38C65_STP_2018_1",95,1,1
"WGN63C12_STP_2018_1",90,2,1
"WGN38C13_STP_2018_1",100,0,1
"WGN36D06_STP_2018_1",95,0,1
"WGN36C13_STP_2018_1",85,0,1
"WGN07C29_STP_2018_1",95,1,1
"WGN39D29_STP_2018_1",85,1,1
"WGN59P01_STP_2018_1",97,0,1
"WGN45D55_STP_2018_1",90,2,1
"WGN39D24_STP_2018_1",5,3,0
"WGN07D13_STP_2018_1",99,0,2
"WGN45D19_STP_2018_1",NA,NA,NA
"WGN15D59_STP_2018_1",85,1,0
"WGN36D37_STP_2018_1",80,2,2
"WGN45C47_STP_2018_1",100,0,0
"WGN55C36_STP_2018_1",95,1,0
"WGN38C24_STP_2018_1",95,1,0
"WGN63C18_STP_2018_1",95,3,0
"WGN15D18_STP_2018_1",80,0,0
"WGN36D33_STP_2018_1",95,0,1
"WGN38C25_STP_2018_1",96,2,2
"WGN63D58_STP_2018_1",85,2,1
"WGN07P01_STP_2018_1",95,2,0
"WGN26D23_STP_2018_1",96,0,1
"WGN36C25_STP_2018_1",99,1,2
"WGN39C61_STP_2018_1",40,3,0
"WGN15C29_STP_2018_1",90,0,0
"WGN26D24_STP_2018_1",70,4,1
"WGN55C35_STP_2018_1",95,0,0
"WGN38C55_STP_2018_1",93,0,1
"WGN63D06_STP_2018_1",50,3,2
"WGN15C30_STP_2018_1",85,1,0
"WGN55D19_STP_2018_1",85,1,2
"WGN26C18_STP_2018_1",50,1,1
"WGN55D18_STP_2018_1",85,2,1
"WGN63C38_STP_2018_1",65,1,1
"WGN36C30_STP_2018_1",50,2,2
"WGN46D30_STP_2018_1",99,0,2
"WGN07C19_STP_2018_1",100,0,1
"WGN63C08_STP_2018_1",90,0,0
"WGN07D58_STP_2018_1",92,3,2
"WGN46C03_STP_2018_1",NA,0,0
"WGN45C63_STP_2018_1",100,0,0
"WGN39C24_STP_2018_1",80,2,0
"WGN46D18_STP_2018_1",96,0,0
"WGN26C15_STP_2018_1",75,1,0
"WGN46C09_STP_2018_1",80,3,1
"WGN36D35_STP_2018_1",98,1,2
"WGN39D49_STP_2018_1",85,2,2
"WGN26D59_STP_2018_1",99,0,1
"WGN46C29_STP_2018_1",99,1,2
"WGN46D38_STP_2018_1",94,1,3
"WGN26D10_STP_2018_1",90,1,1
"WGN46C20_STP_2018_1",95,0,1
"WGN63C02_STP_2018_1",96,0,1
"WGN36C60_STP_2018_1",94,1,1
"WGN38D05_STP_2018_1",60,0,0
"WGN39C05_STP_2018_1",70,3,1
"WGN15C18_STP_2018_1",94,1,0
"WGN38C50_STP_2018_1",100,0,1
"WGN07C08_STP_2018_1",98,0,0
"WGN36D63_STP_2018_1",70,1,2
"WGN15C61_STP_2018_1",65,0,1
"WGN45D56_STP_2018_1",100,0,2
"WGN07D35_STP_2018_1",96,1,0
"WGN45D04_STP_2018_1",95,1,0
"WGN26C62_STP_2018_1",90,1,0
"WGN38C80_STP_2018_1",50,0,1
"WGN45P01_STP_2018_1",95,0,0
"WGN45C37_STP_2018_1",99,0,0
"WGN07D53_STP_2018_1",90,1,2
"WGN55D05_STP_2018_1",95,1,1
"WGN15D53_STP_2018_1",99,0,0
"WGN39C40_STP_2018_1",90,4,1
"WGN55C38_STP_2018_1",90,2,1
"WGN15D34_STP_2018_1",NA,NA,NA
"WGN45C51_STP_2018_1",75,3,1
"WGN07C63_STP_2018_1",90,0,0
"WGN55C25_STP_2018_1",90,1,2
"WGN39D63_STP_2018_1",60,1,1
"WGN38D08_STP_2018_1",40,0,2
"WGN36C04_STP_2018_1",100,1,2
"WGN46D56_STP_2018_1",99,1,2
"WGN55D02_STP_2018_1",85,1,1
"WGN26C36_STP_2018_1",85,1,2
"WGN63D37_STP_2018_1",60,2,2
"WGN59P01_STP_2018_1",98,0,2
"WGN63C25_STP_2018_1",80,4,2
"WGN39D42_STP_2018_1",70,7,2
"WGN36C41_STP_2018_1",100,0,1
"WGN38C37_STP_2018_1",60,1,0
"WGN63C48_STP_2018_1",60,1,1
"WGN15D07_STP_2018_1",97,0,2
"WGN46C37_STP_2018_1",98,0,1
"WGN55C61_STP_2018_1",90,0,2
"WGN36D16_STP_2018_1",98,0,3
"WGN26D11_STP_2018_1",75,5,0
"WGN46D07_STP_2018_1",98,1,0
"WGN07C04_STP_2018_1",97,0,0
"WGN55C62_STP_2018_1",93,1,1
"WGN63D33_STP_2018_1",92,1,1
"WGN07C07_STP_2018_1",99,0,2
"WGN55D41_STP_2018_1",80,1,1
"WGN39D03_STP_2018_1",75,4,2
"WGN63C41_STP_2018_1",85,1,1
"WGN15D08_STP_2018_1",99,0,1
"WGN63C46_STP_2018_1",75,1,1
"WGN39C34_STP_2018_1",80,6,1
"WGN46C36_STP_2018_1",98,0,2
"WGN55D47_STP_2018_1",91,0,1
"WGN63D34_STP_2018_1",85,3,2
"WGN26C02_STP_2018_1",70,0,1
"WGN63C09_STP_2018_1",90,1,1
"WGN45C07_STP_2018_1",98,0,0
"WGN46D02_STP_2018_1",100,0,2
"WGN07D06_STP_2018_1",100,0,0
"WGN36D17_STP_2018_1",93,2,1
"WGN55C51_STP_2018_1",99,1,1
"WGN26D47_STP_2018_1",100,0,1
"WGN15C06_STP_2018_1",92,2,1
"WGN63D27_STP_2018_1",97,1,1
"WGN26C04_STP_2018_1",75,1,0
"WGN45D36_STP_2018_1",95,1,0
"WGN15C03_STP_2018_1",96,0,1
"WGN39C33_STP_2018_1",88,0,2
"WGN63D22_STP_2018_1",55,2,2
"WGN45D42_STP_2018_1",95,0,0
"WGN26D42_STP_2018_1",78,3,0
"WGN59P01_STP_2018_1",98,0,2
"WGN36C48_STP_2018_1",99,0,3
"WGN38C40_STP_2018_1",99,0,0
"WGN63C52_STP_2018_1",90,3,0
"WGN15D10_STP_2018_1",80,0,1
"WGN55D33_STP_2018_1",85,3,1
"WGN38C29_STP_2018_1",100,1,1
"WGN39C63_STP_2018_1",75,5,1
"WGN15C14_STP_2018_1",80,1,1
"WGN59P01_STP_2018_1",98,0,2
"WGN36C39_STP_2018_1",90,1,4
"WGN45C24_STP_2018_1",NA,NA,NA
"WGN26D38_STP_2018_1",95,1,0
"WGN63C51_STP_2018_1",75,3,0
"WGN26D44_STP_2018_1",80,0,0
"WGN55D34_STP_2018_1",96,0,2
"WGN26C09_STP_2018_1",65,2,0
"WGN39C64_STP_2018_1",75,1,0
"WGN55C44_STP_2018_1",80,2,0
"WGN07D04_STP_2018_1",99,0,0
"WGN46D49_STP_2018_1",91,0,0
"WGN45C14_STP_2018_1",98,0,0
"WGN39D14_STP_2018_1",80,1,1
"WGN39D25_STP_2018_1",90,1,1
"WGN15D15_STP_2018_1",97,0,1
"WGN63D63_STP_2018_1",80,2,0
"WGN26C06_STP_2018_1",80,2,2
"WGN46C49_STP_2018_1",100,0,2
"WGN15C20_STP_2018_1",85,0,0
"WGN63D50_STP_2018_1",99,0,1
"WGN07C09_STP_2018_1",98,0,1
"WGN55C45_STP_2018_1",98,0,2
"WGN07D01_STP_2018_1",91,3,1
"WGN36D26_STP_2018_1",95,1,2
"WGN46D39_STP_2018_1",95,2,0
"WGN36C31_STP_2018_1",95,0,0
"WGN45D21_STP_2018_1",85,1,0
"WGN39P01_STP_2018_1",55,2,1
"WGN46C44_STP_2018_1",98,0,2
"WGN38C32_STP_2018_1",97,0,1
"WGN45D27_STP_2018_1",80,1,0
"WGN36D27_STP_2018_1",93,0,2
"WGN38C79_STP_2018_1",65,1,0
"WGN07C13_STP_2018_1",96,0,2
"WGN38C57_STP_2018_1",85,1,0
"WGN36D50_STP_2018_1",96,0,1
"WGN59P01_STP_2018_1",97,0,1
"WGN38C17_STP_2018_1",85,3,0
"WGN46C65_STP_2018_1",85,0,1
"WGN15D28_STP_2018_1",80,0,0
"WGN39C12_STP_2018_1",80,0,0
"WGN55D08_STP_2018_1",92,0,1
"WGN46C18_STP_2018_1",NA,NA,NA
"WGN39D45_STP_2018_1",55,6,0
"WGN63C13_STP_2018_1",75,7,1
"WGN45C59_STP_2018_1",NA,NA,NA
"WGN36D08_STP_2018_1",99,0,2
"WGN63D49_STP_2018_1",40,4,1
"WGN63C33_STP_2018_1",80,2,0
"WGN46D60_STP_2018_1",90,4,2
"WGN38C09_STP_2018_1",97,0,1
"WGN07C42_STP_2018_1",97,0,0
"WGN38D18_STP_2018_1",65,0,1
"WGN36D41_STP_2018_1",90,0,1
"WGN55C29_STP_2018_1",97,2,1
"WGN15C51_STP_2018_1",25,1,1
"WGN15D43_STP_2018_1",95,0,0
"WGN36D13_STP_2018_1",90,2,3
"WGN07D28_STP_2018_1",100,0,0
"WGN15C39_STP_2018_1",97,1,2
"WGN55P01_STP_2018_1",92,1,1
"WGN26C55_STP_2018_1",75,1,0
"WGN07D57_STP_2018_1",97,0,2
"WGN26C57_STP_2018_1",100,0,0
"WGN07C37_STP_2018_1",99,0,0
"WGN39D31_STP_2018_1",65,2,1
"WGN46D47_STP_2018_1",90,0,0
"WGN39C46_STP_2018_1",90,1,2
"WGN45D06_STP_2018_1",98,0,0
"WGN63D40_STP_2018_1",50,1,1
"WGN07C52_STP_2018_1",96,0,0
"WGN36C16_STP_2018_1",60,0,1
"WGN45C32_STP_2018_1",100,0,0
"WGN46D65_STP_2018_1",85,1,1
"WGN63C34_STP_2018_1",90,0,2
"WGN26C51_STP_2018_1",95,3,0
"WGN45C45_STP_2018_1",80,1,0
"WGN46C13_STP_2018_1",98,0,0
"WGN26D30_STP_2018_1",75,0,0
"WGN63C05_STP_2018_1",70,1,0
"WGN15D20_STP_2018_1",95,2,0
"WGN07D20_STP_2018_1",96,0,0
"WGN55D43_STP_2018_1",90,1,1
"WGN55C33_STP_2018_1",95,3,0
"WGN07D03_STP_2018_1",100,0,0
"WGN38C26_STP_2018_1",90,1,2
"WGN39C65_STP_2018_1",80,2,2
"WGN36D31_STP_2018_1",90,0,1
"WGN15C24_STP_2018_1",70,0,1
"WGN63D29_STP_2018_1",90,4,1
"WGN38D31_STP_2018_1",40,0,0
"WGN45D20_STP_2018_1",85,1,0
"WGN55D45_STP_2018_1",98,0,0
"WGN36D32_STP_2018_1",96,1,0
"WGN39D05_STP_2018_1",80,2,0
"WGN55C03_STP_2018_1",96,0,1
"WGN26C47_STP_2018_1",60,1,2
"WGN26D29_STP_2018_1",93,1,1
"WGN55D44_STP_2018_1",70,1,0
"WGN07D41_STP_2018_1",96,0,0
"WGN07C22_STP_2018_1",99,0,1
"WGN36C51_STP_2018_1",NA,NA,NA
"WGN38C60_STP_2018_1",80,0,2
"WGN07P01_STP_2018_1",95,1,0
"WGN15D61_STP_2018_1",92,0,2
"WGN46D50_STP_2018_1",85,2,0
"WGN15C28_STP_2018_1",97,0,0
"WGN59P01_STP_2018_1",98,0,1
"WGN26C12_STP_2018_1",90,2,0
"WGN63C45_STP_2018_1",80,2,2
"WGN45C46_STP_2018_1",NA,NA,NA
"WGN63D62_STP_2018_1",55,0,1
"WGN46C04_STP_2018_1",93,1,2
"WGN36C29_STP_2018_1",95,0,1
"WGN45D62_STP_2018_1",75,1,0
"WGN46D10_STP_2018_1",100,1,1
"WGN39C20_STP_2018_1",75,0,2
"WGN45C35_STP_2018_1",96,0,2
"WGN39D18_STP_2018_1",30,7,1
"WGN45D61_STP_2018_1",75,1,1
"WGN36D55_STP_2018_1",95,1,1
"WGN07D09_STP_2018_1",95,2,0
"WGN39C01_STP_2018_1",80,1,1
"WGN46C63_STP_2018_1",85,2,0
"WGN36C08_STP_2018_1",98,0,2
"WGN59P01_STP_2018_1",NA,NA,NA
"WGN36D01_STP_2018_1",90,0,2
"WGN38C03_STP_2018_1",96,0,0
"WGN15C58_STP_2018_1",95,0,0
"WGN55C18_STP_2018_1",97,1,2
"WGN46C22_STP_2018_1",90,1,1
"WGN55P01_STP_2018_1",90,1,0
"WGN26C34_STP_2018_1",95,0,1
"WGN46D64_STP_2018_1",97,1,2
"WGN63D03_STP_2018_1",85,4,0
"WGN55D53_STP_2018_1",90,1,1
"WGN39C41_STP_2018_1",95,1,1
"WGN07D14_STP_2018_1",95,0,1
"WGN63D46_STP_2018_1",45,3,0
"WGN15D06_STP_2018_1",80,0,1
"WGN55C19_STP_2018_1",95,3,0
"WGN07C60_STP_2018_1",95,1,1
"WGN63C35_STP_2018_1",90,1,0
"WGN26D51_STP_2018_1",95,1,1
"WGN38D15_STP_2018_1",90,3,0
"WGN46D15_STP_2018_1",99,0,1
"WGN63C24_STP_2018_1",65,4,0
"WGN45C56_STP_2018_1",90,1,2
"WGN15C36_STP_2018_1",50,1,1
"WGN63D41_STP_2018_1",90,0,0
"WGN55D10_STP_2018_1",94,0,0
"WGN26C31_STP_2018_1",100,0,1
"WGN36C54_STP_2018_1",85,0,0
"WGN38C68_STP_2018_1",80,0,0
"WGN39D44_STP_2018_1",85,3,1
"WGN07C11_STP_2018_1",93,1,0
"WGN39D62_STP_2018_1",NA,NA,NA
"WGN26D08_STP_2018_1",80,1,0
"WGN45D09_STP_2018_1",100,0,0
"WGN15D48_STP_2018_1",95,3,0
"WGN45C54_STP_2018_1",90,1,1
"WGN39D50_STP_2018_1",85,4,0
"WGN63C27_STP_2018_1",95,1,1
"WGN07C15_STP_2018_1",97,1,0
"WGN46C64_STP_2018_1",90,0,0
"WGN39C08_STP_2018_1",80,1,1
"WGN15C50_STP_2018_1",65,0,1
"WGN36C15_STP_2018_1",100,0,1
"WGN15C60_STP_2018_1",99,0,2
"WGN45C39_STP_2018_1",NA,NA,NA
"WGN46D51_STP_2018_1",96,2,0
"WGN36C59_STP_2018_1",75,1,3
"WGN55D63_STP_2018_1",94,2,1
"WGN63D48_STP_2018_1",80,3,1
"WGN46D34_STP_2018_1",95,2,0
"WGN36D54_STP_2018_1",85,0,0
"WGN15D29_STP_2018_1",100,0,0
"WGN36D05_STP_2018_1",94,0,2
"WGN63D01_STP_2018_1",5,4,0
"WGN55D07_STP_2018_1",99,1,0
"WGN07D29_STP_2018_1",50,5,0
"WGN15P01_STP_2018_1",80,0,0
"WGN59P01_STP_2018_1",99,0,2
"WGN45C62_STP_2018_1",97,0,1
"WGN07D61_STP_2018_1",92,0,0
"WGN39C39_STP_2018_1",80,1,0
"WGN15D50_STP_2018_1",50,0,2
"WGN45D07_STP_2018_1",96,1,0
"WGN26C35_STP_2018_1",45,1,0
"WGN46C46_STP_2018_1",NA,NA,NA
"WGN45D57_STP_2018_1",99,0,1
"WGN63C04_STP_2018_1",80,0,0
"WGN07C54_STP_2018_1",85,1,0
"WGN39D52_STP_2018_1",85,0,1
"WGN55C24_STP_2018_1",95,1,1
"WGN26D06_STP_2018_1",99,0,0
"WGN55C06_STP_2018_1",60,2,2
"WGN38C08_STP_2018_1",85,0,0
"WGN26D60_STP_2018_1",99,0,0
"WGN46C17_STP_2018_1",85,6,0
"WGN26C59_STP_2018_1",NA,NA,NA
"WGN38C58_STP_2018_1",98,0,1
"WGN38D06_STP_2018_1",60,1,1
"WGN39D26_STP_2018_1",5,4,1
"WGN36C55_STP_2018_1",96,0,2
"WGN55D16_STP_2018_1",90,0,1
"WGN45D58_STP_2018_1",96,0,0
"WGN63D52_STP_2018_1",40,0,0
"WGN38C14_STP_2018_1",94,1,0
"WGN46D22_STP_2018_1",95,0,0
"WGN38D25_STP_2018_1",60,2,1
"WGN15C52_STP_2018_1",100,0,1
"WGN46C12_STP_2018_1",75,2,0
"WGN39D59_STP_2018_1",94,2,1
"WGN55C10_STP_2018_1",90,2,0
"WGN07D23_STP_2018_1",99,1,0
"WGN63C20_STP_2018_1",80,3,0
"WGN26D63_STP_2018_1",NA,NA,NA
"WGN59P01_STP_2018_1",95,0,1
"WGN26D14_STP_2018_1",90,1,0
"WGN39C17_STP_2018_1",90,0,0
"WGN36C18_STP_2018_1",70,3,2
"WGN46P01_STP_2018_1",95,0,1
"WGN07C45_STP_2018_1",90,0,0
"WGN38C51_STP_2018_1",40,0,0
"WGN55C26_STP_2018_1",95,1,1
"WGN15D16_STP_2018_1",75,0,0
"WGN55D59_STP_2018_1",90,2,0
"WGN38D24_STP_2018_1",70,2,1
"WGN63C32_STP_2018_1",50,1,0
"WGN26C53_STP_2018_1",65,2,0
"WGN07C44_STP_2018_1",90,0,0
"WGN36D09_STP_2018_1",90,0,1
"WGN46C52_STP_2018_1",90,1,0
"WGN15D37_STP_2018_1",70,0,2
"WGN45C26_STP_2018_1",95,0,1
"WGN46D36_STP_2018_1",99,0,0
"WGN26C22_STP_2018_1",80,1,0
"WGN36D49_STP_2018_1",95,0,1
"WGN39C48_STP_2018_1",85,2,1
"WGN36D11_STP_2018_1",96,1,2
"WGN07D47_STP_2018_1",96,0,1
"WGN45D12_STP_2018_1",90,1,1
"WGN45C65_STP_2018_1",99,0,0
"WGN63D08_STP_2018_1",55,2,0
"WGN46P01_STP_2018_1",85,1,1
"WGN55D56_STP_2018_1",85,NA,NA
"WGN36D07_STP_2018_1",45,0,2
"WGN07C20_STP_2018_1",94,2,0
"WGN38D14_STP_2018_1",75,1,1
"WGN36C12_STP_2018_1",90,0,2
"WGN15C65_STP_2018_1",85,1,0
"WGN26D34_STP_2018_1",70,1,1
"WGN63C22_STP_2018_1",60,0,2
"WGN55C17_STP_2018_1",90,1,2
"WGN39D55_STP_2018_1",85,2,0
"WGN46C62_STP_2018_1",99,0,1
"WGN45D08_STP_2018_1",90,2,1
"WGN59P01_STP_2018_1",95,0,2
"WGN38D19_STP_2018_1",90,0,0
"WGN26C40_STP_2018_1",90,1,1
"WGN46D58_STP_2018_1",90,1,0
"WGN45C38_STP_2018_1",75,1,0
"WGN07D33_STP_2018_1",85,2,0
"WGN26D07_STP_2018_1",99,0,0
"WGN55D04_STP_2018_1",99,0,0
"WGN07C64_STP_2018_1",99,0,0
"WGN36D52_STP_2018_1",99,0,0
"WGN07D59_STP_2018_1",100,0,0
"WGN36C05_STP_2018_1",85,3,1
"WGN26C65_STP_2018_1",NA,NA,NA
"WGN15C42_STP_2018_1",30,0,1
