plantID3	famID	response	SE	df	lower.CL	upper.CL
1	WGN07	91.0251167092917	2.84086765586967	1112	84.7086438393783	95.7862436357038
2	WGN07	97.7442304278176	1.47587272929216	1112	93.9617013967181	99.7166781946091
3	WGN07	99.7493718553298	0.496965201336766	1112	97.8373956244474	100
4	WGN07	92.1161458040631	2.67850922421026	1112	86.0955393250569	96.5400431988159
5	WGN07	97.9999999999997	1.39150256373954	1112	94.377117926177	99.8031040627781
6	WGN07	99.0000000000001	0.98894826401597	1112	96.1430163878752	99.9992935591839
7	WGN07	98.5422586969595	1.19126247315768	1112	95.2995028572811	99.9446783911557
8	WGN07	98.54225869696	1.19126247315752	1112	95.2995028572818	99.9446783911558
9	WGN07	99.7493718553311	0.496965201335422	1112	97.8373956244514	100
10	WGN07	96.0609040895837	1.93342614749943	1112	91.4181987338163	98.9573465197041
11	WGN07	97.083209049555	1.67255608150424	1112	92.9297395751933	99.4516579297962
12	WGN07	97.524614098753	1.54431024267909	1112	93.6128164576225	99.6346565790442
13	WGN07	99.749371855331	0.496965201335473	1112	97.8373956244512	100
14	WGN07	91.0251167093102	2.84086765586771	1112	84.7086438394	95.7862436357177
15	WGN07	99.0000000000002	0.98894826401595	1112	96.1430163878752	99.9992935591839
16	WGN07	99.2442890089803	0.860768978306995	1112	96.6325840081953	100
17	WGN07	98.9999999999999	0.988948264016083	1112	96.1430163878747	99.9992935591839
18	WGN07	98.1314235093986	1.34590827970591	1112	94.5949447060656	99.8431417680927
20	WGN07	97.524614098753	1.54431024267906	1112	93.6128164576226	99.6346565790442
21	WGN07	98.1314235093992	1.34590827970575	1112	94.5949447060664	99.8431417680928
22	WGN07	98.1314235093984	1.34590827970597	1112	94.5949447060653	99.8431417680926
23	WGN07	97.5246140987533	1.54431024267895	1112	93.6128164576232	99.6346565790443
24	WGN07	98.7339717240448	1.11124797263807	1112	95.6435849197157	99.9767541505767
25	WGN07	98.5422586969596	1.19126247315766	1112	95.2995028572811	99.9446783911557
26	WGN07	98.131423509399	1.34590827970579	1112	94.5949447060662	99.8431417680928
27	WGN07	97.7442304278162	1.47587272929254	1112	93.961701396716	99.7166781946085
28	WGN07	96.5173015196907	1.82228583338627	1112	92.0826333992045	99.1884037560382
29	WGN07	98.131423509399	1.3459082797058	1112	94.5949447060662	99.8431417680928
30	WGN07	99.7493718553311	0.496965201335465	1112	97.8373956244512	100
31	WGN07	99.0000000000006	0.98894826401573	1112	96.1430163878761	99.9992935591839
32	WGN07	97.7442304278167	1.47587272929237	1112	93.9617013967168	99.7166781946086
33	WGN07	99.0000000000002	0.988948264015951	1112	96.1430163878752	99.9992935591839
34	WGN07	96.5173015196913	1.82228583338612	1112	92.0826333992054	99.1884037560385
35	WGN07	93.581705909913	2.43591012413923	1112	88.006310312002	97.5048300474352
36	WGN07	99.0000000000002	0.988948264015917	1112	96.1430163878754	99.9992935591839
37	WGN07	98.4767985741637	1.21731116319138	1112	95.1844968316519	99.9312458981111
38	WGN07	98.5422586969596	1.19126247315767	1112	95.2995028572811	99.9446783911557
39	WGN07	96.0609040895834	1.93342614749948	1112	91.418198733816	98.9573465197039
40	WGN07	96.0609040895834	1.93342614749943	1112	91.4181987338162	98.9573465197039
41	WGN07	94.5982959330068	2.24679281080422	1112	89.3723492115996	98.1334301904778
42	WGN07	99.4974746830583	0.702814927756209	1112	97.1889310904262	100
44	WGN07	98.1314235093989	1.34590827970582	1112	94.5949447060661	99.8431417680928
46	WGN07	99.4974746830584	0.702814927756162	1112	97.1889310904264	100
47	WGN07	98.9999999999998	0.988948264016142	1112	96.1430163878745	99.9992935591839
48	WGN07	97.3716556369843	1.59005953367942	1112	93.3735607274594	99.5737943532811
49	WGN07	98.1314235093992	1.34590827970574	1112	94.5949447060665	99.8431417680929
50	WGN07	99.7493718553311	0.496965201335451	1112	97.8373956244512	100
51	WGN07	97.0832090495558	1.67255608150401	1112	92.9297395751945	99.4516579297965
52	WGN07	92.6975711163348	2.58597201468477	1112	86.8463616288741	96.930028498743
53	WGN07	98.5422586969595	1.19126247315772	1112	95.2995028572809	99.9446783911556
54	WGN07	99.9973550867351	0.0723050241360003	1112	97.9669364249839	100
55	WGN07	96.6630318022319	1.78509862417513	1112	92.2981045966568	99.258868191091
56	WGN07	99.7493718553312	0.496965201335374	1112	97.8373956244515	100
57	WGN07	94.3779815202193	2.28948315188875	1112	89.0729783230635	98.0005248226871
58	WGN07	80.2393401911612	3.95776834267726	1112	71.9497170937576	87.3825281563071
59	WGN07	97.0000000000003	1.69551825350819	1112	92.8033388128259	99.414795218027
60	WGN07	99.749371855331	0.496965201335479	1112	97.8373956244512	100
61	WGN07	95.0000000000001	2.16622109107787	1112	89.9235281218775	98.3704299927687
63	WGN07	95.0000000000004	2.16622109107783	1112	89.9235281218778	98.3704299927689
64	WGN07	97.0000000000004	1.69551825350818	1112	92.803338812826	99.4147952180271
66	WGN07	94.7213595499961	2.22249594527615	1112	89.5404512906655	98.2067897523874
67	WGN07	95.1981846701235	2.12506899774892	1112	90.1981896595004	98.4846242098753
68	WGN07	96.6630318022319	1.78509862417514	1112	92.2981045966568	99.258868191091
69	WGN07	94.5982959330073	2.24679281080415	1112	89.3723492116002	98.1334301904782
71	WGN07	98.9999999999999	0.988948264016062	1112	96.1430163878748	99.9992935591839
73	WGN07	99.0000000000002	0.988948264015934	1112	96.1430163878753	99.9992935591839
74	WGN07	98.5422586969595	1.19126247315768	1112	95.2995028572811	99.9446783911557
75	WGN07	100	6.08606843103168e-16	1112	99.0521989525812	100
76	WGN07	99.749371855331	0.496965201335526	1112	97.8373956244511	100
77	WGN07	99.4974746830586	0.702814927756039	1112	97.1889310904268	100
78	WGN07	97.5246140987531	1.54431024267904	1112	93.6128164576228	99.6346565790443
79	WGN07	85.3553390593283	3.5140746387809	1112	77.8338003832421	91.5364846397231
80	WGN07	100	2.38961241113909e-13	1112	99.0521989525805	100
81	WGN07	100	6.0860684310319e-16	1112	99.0521989525812	100
82	WGN07	98.7339717240448	1.1112479726381	1112	95.6435849197156	99.9767541505767
83	WGN07	97.744230427816	1.4758727292926	1112	93.9617013967157	99.7166781946084
84	WGN07	99.7493718553311	0.496965201335468	1112	97.8373956244512	100
85	WGN07	94.7213595499968	2.222495945276	1112	89.5404512906665	98.2067897523878
86	WGN07	98.5422586969595	1.19126247315771	1112	95.2995028572809	99.9446783911557
87	WGN07	94.7839729716953	2.21000545698072	1112	89.6262303412013	98.2438637425831
88	WGN07	100	6.08606843103183e-16	1112	99.0521989525813	100
