plantID3	famID	response	SE	df	lower.CL	upper.CL
1	WGN07	99.497474683063	1.07383729333606	619	95.2348733332896	100
2	WGN07	99.9967891617135	0.121743496452134	619	95.3800102653218	100
3	WGN07	99.9967891617133	0.121743496455449	619	95.3800102653153	100
4	WGN07	99.9967891617134	0.121743496454288	619	95.380010265316	100
5	WGN07	100	1.52672041159029e-13	619	97.7929006848214	100
7	WGN07	98.5422586969589	1.82014072170887	619	92.8778578522036	100
8	WGN07	100	9.87192784029546e-14	619	97.7929006848217	100
9	WGN07	100	3.58366949166536e-13	619	97.7929006848212	100
11	WGN07	100	1.31560156795545e-15	619	95.8441091980798	100
13	WGN07	99.7493718553307	0.759317632012392	619	96.0841909649821	100
14	WGN07	100	1.31560156795552e-15	619	95.8441091980798	100
15	WGN07	100	4.02203568905838e-13	619	97.7929006848212	100
16	WGN07	100	3.71855139855558e-13	619	97.7929006848211	100
17	WGN07	98.5422586969589	1.82014072170884	619	92.8778578522037	100
18	WGN07	98.7339717240442	1.69788584169338	619	93.2976497716596	100
21	WGN07	99.4974746830579	1.07383729334078	619	95.2348733332781	100
22	WGN07	100	4.15691759594846e-13	619	97.7929006848212	100
23	WGN07	100	1.31560156795551e-15	619	95.8441091980797	100
24	WGN07	100	1.31560156795552e-15	619	95.8441091980798	100
25	WGN07	100	1.31560156795545e-15	619	95.8441091980798	100
26	WGN07	100	2.8755394804919e-13	619	97.7929006848214	100
27	WGN07	100	4.22435854939366e-13	619	97.7929006848211	100
28	WGN07	100	9.29895907579635e-16	619	97.7929006848225	100
29	WGN07	99.7493718553307	0.759317632012459	619	96.084190964982	100
30	WGN07	100	6.1464257225786e-13	619	97.7929006848207	100
31	WGN07	96.0609040895826	2.95409932132929	619	88.3120266126901	99.7433419715707
32	WGN07	100	1.31560156795552e-15	619	95.84410919808	100
33	WGN07	100	1.31560156795549e-15	619	95.8441091980807	100
34	WGN07	99.7493718553307	0.759317632012424	619	96.0841909649821	100
35	WGN07	98.9897948556632	1.51863526402428	619	93.8889984035316	100
37	WGN07	100	1.31560156795549e-15	619	95.8441091980803	100
38	WGN07	100	1.31560156795549e-15	619	95.8441091980797	100
39	WGN07	100	6.82083525702947e-13	619	97.7929006848206	100
40	WGN07	100	3.6511104451105e-13	619	97.7929006848211	100
42	WGN07	100	5.30341380451509e-13	619	97.7929006848208	100
44	WGN07	100	3.95459473561333e-13	619	97.7929006848211	100
46	WGN07	100	1.31560156795549e-15	619	95.8441091980797	100
47	WGN07	100	1.31560156795546e-15	619	95.8441091980799	100
48	WGN07	100	1.31560156795548e-15	619	95.8441091980787	100
50	WGN07	100	4.02203568905842e-13	619	97.7929006848211	100
51	WGN07	100	1.3156015679555e-15	619	95.8441091980796	100
