famID	response	SE	df	lower.CL	upper.CL	.group
WGN39	77.270686971904	0.550944486904092	1122	76.1807376447344	78.3424928326721	 A     
WGN63	78.1927217947455	0.560375519459938	1122	77.083356577461	79.2821005681819	 A     
WGN38	83.8649360550368	0.549880184013398	1122	82.7716166091428	84.929125679627	  B    
WGN15	84.7660093808574	0.478220919990459	1122	83.81595701787	85.692359713295	  B    
WGN26	87.8511080242712	0.452699340978137	1122	86.9489957295231	88.7252420191254	   C   
WGN36	90.4761931328396	0.406117445251004	1122	89.6645438778166	91.2580184456221	    D  
WGN45	91.7879602282401	0.392740022357456	1122	91.0010149751641	92.5419877507556	    DE 
WGN55	92.5513840944141	0.350442761949119	1122	91.8492753236096	93.2243119957672	     E 
WGN46	93.3956165960401	0.335750018677365	1122	92.7216602390702	94.0390429120788	     E 
WGN07	96.5673678830692	0.241330574599647	1122	96.0781631430477	97.0250764407643	      F
