famID	response	SE	df	lower.CL	upper.CL	.group
WGN15	68.8908747716539	0.454268135663311	1114	67.9961109937368	69.7786360336334	 A    
WGN39	72.4488048486296	0.445162811193215	1114	71.5711184344298	73.3179112906821	  B   
WGN38	73.0674474980506	0.494530999367001	1114	72.0916897320954	74.0321693523076	  B   
WGN63	73.6605887199103	0.451292286764084	1114	72.7703889246945	74.5412270180766	  B   
WGN26	78.5816667051917	0.426604107309446	1114	77.7387379092665	79.4126979920695	   C  
WGN45	79.312163686599	0.429343779093671	1114	78.4634721290501	80.1481779050725	   C  
WGN46	82.8101917431698	0.383640646619337	1114	82.0509722012235	83.5563517063003	    D 
WGN36	82.9075679458855	0.408969337931218	1114	82.0977156390573	83.7024681179307	    D 
WGN55	83.7163368592244	0.367901796622946	1114	82.988080541391	84.4317056840282	    D 
WGN07	87.5377515560978	0.337301646974721	1114	86.8684422565343	88.1919899532335	     E
