plantID3	famID	emmean	SE	df	asymp.LCL	asymp.UCL
1	WGN07	2.00000000000037	0.556584587177241	Inf	0.909114254782881	3.09088574521785
2	WGN07	-8.224254610667e-13	0.556584587177716	Inf	-1.09088574521924	1.09088574521759
3	WGN07	0.499999999999994	0.556584587177661	Inf	-0.590885745218315	1.5908857452183
4	WGN07	2.02156334231845	0.787306255507494	Inf	0.478471436720674	3.56465524791623
5	WGN07	1.50000000000002	0.55658458717772	Inf	0.409114254781592	2.59088574521844
6	WGN07	-3.52495810318487e-15	0.556584587177712	Inf	-1.09088574521841	1.09088574521841
7	WGN07	2.4999999999999	0.556584587177713	Inf	1.40911425478149	3.59088574521831
8	WGN07	1.99999999999986	0.556584587177698	Inf	0.909114254781475	3.09088574521824
9	WGN07	0.499999999999977	0.556584587177697	Inf	-0.590885745218403	1.59088574521836
10	WGN07	1.49999999999992	0.556584587177711	Inf	0.409114254781508	2.59088574521832
11	WGN07	0.999999999999971	0.556584587177708	Inf	-0.0908857452184311	2.09088574521837
12	WGN07	7.99638133486269e-14	0.556584587177698	Inf	-1.0908857452183	1.09088574521846
13	WGN07	2.49999999999994	0.556584587177709	Inf	1.40911425478154	3.59088574521834
14	WGN07	1.99999999999988	0.556584587177718	Inf	0.90911425478146	3.0908857452183
15	WGN07	0.999999999999954	0.556584587177704	Inf	-0.0908857452184395	2.09088574521835
16	WGN07	1.99999999999998	0.556584587177702	Inf	0.909114254781586	3.09088574521837
17	WGN07	0.999999999999891	0.556584587177713	Inf	-0.0908857452185197	2.0908857452183
18	WGN07	3.50000000000009	0.556584587177719	Inf	2.40911425478167	4.59088574521851
20	WGN07	0.999999999999991	0.556584587177715	Inf	-0.0908857452184249	2.09088574521841
21	WGN07	2.99999999999995	0.556584587177711	Inf	1.90911425478154	4.09088574521836
22	WGN07	-5.74540415243519e-15	0.556584587177711	Inf	-1.09088574521841	1.0908857452184
23	WGN07	0.0215633423180213	0.787306255507486	Inf	-1.52152856327974	1.56465524791578
24	WGN07	0.499999999999899	0.556584587177723	Inf	-0.590885745218531	1.59088574521833
25	WGN07	0.999999999999962	0.556584587177701	Inf	-0.0908857452184253	2.09088574521835
26	WGN07	-1.109945468869e-13	0.556584587177717	Inf	-1.09088574521853	1.09088574521831
27	WGN07	1.49999999999996	0.55658458717771	Inf	0.409114254781553	2.59088574521836
28	WGN07	1.49999999999998	0.556584587177703	Inf	0.409114254781587	2.59088574521837
