plantID3	famID	emmean	SE	df	asymp.LCL	asymp.UCL
1	WGN07	1.99999999999837	0.612756521477946	Inf	0.799019286609554	3.20098071338719
2	WGN07	1.00000000000095	0.612756521478086	Inf	-0.200980713388146	2.20098071339004
3	WGN07	2.00000000000017	0.612756521478066	Inf	0.799019286611117	3.20098071338922
4	WGN07	1.00000000000028	0.612756521478099	Inf	-0.200980713388839	2.2009807133894
5	WGN07	1.99999999999999	0.612756521478086	Inf	0.799019286610903	3.20098071338909
6	WGN07	-2.5278390491934e-14	0.612756521478078	Inf	-1.2009807133891	1.20098071338905
7	WGN07	-4.28199142810115e-14	0.612756521478063	Inf	-1.20098071338909	1.200980713389
8	WGN07	1	0.612756521478068	Inf	-0.200980713389057	2.20098071338906
9	WGN07	1.62439506290468e-14	0.612756521478058	Inf	-1.20098071338902	1.20098071338905
10	WGN07	0.500000000000014	0.612756521478066	Inf	-0.700980713389039	1.70098071338907
11	WGN07	1.17274245869936e-13	0.612756521478069	Inf	-1.20098071338894	1.20098071338918
12	WGN07	0.499999999999918	0.612756521478076	Inf	-0.700980713389156	1.70098071338899
13	WGN07	5.46576672810772e-14	0.612756521478046	Inf	-1.20098071338896	1.20098071338907
14	WGN07	5.5	0.612756521478069	Inf	4.29901928661094	6.70098071338906
15	WGN07	-6.18255446838134e-15	0.612756521478069	Inf	-1.20098071338907	1.20098071338905
16	WGN07	0.999999999999989	0.612756521478064	Inf	-0.200980713389061	2.20098071338904
17	WGN07	-6.92432222670902e-14	0.612756521478079	Inf	-1.20098071338915	1.20098071338901
18	WGN07	3.00000000000003	0.612756521478055	Inf	1.799019286611	4.20098071338907
20	WGN07	3.1787072973799e-14	0.612756521478064	Inf	-1.20098071338902	1.20098071338908
21	WGN07	4.00000000000003	0.612756521478054	Inf	2.799019286611	5.20098071338906
22	WGN07	-5.79189474159136e-14	0.612756521478069	Inf	-1.20098071338912	1.200980713389
23	WGN07	2.00000000000005	0.612756521478057	Inf	0.799019286611016	3.20098071338909
24	WGN07	2.06848427275474e-14	0.612756521478069	Inf	-1.20098071338904	1.20098071338908
25	WGN07	2.13509765423225e-14	0.612756521478061	Inf	-1.20098071338902	1.20098071338907
26	WGN07	-4.6594672564737e-14	0.612756521478067	Inf	-1.2009807133891	1.20098071338901
27	WGN07	0.499999999999988	0.61275652147807	Inf	-0.700980713389074	1.70098071338905
28	WGN07	5.48797118860023e-14	0.612756521478058	Inf	-1.20098071338898	1.20098071338909
29	WGN07	-2.17256768131335e-14	0.612756521478068	Inf	-1.20098071338908	1.20098071338903
30	WGN07	-1.7950918529408e-14	0.612756521478066	Inf	-1.20098071338907	1.20098071338904
31	WGN07	0.999999999999995	0.612756521478074	Inf	-0.200980713389073	2.20098071338906
32	WGN07	3.00000000000005	0.612756521478067	Inf	1.799019286611	4.20098071338911
33	WGN07	1.62439506290468e-14	0.612756521478061	Inf	-1.20098071338903	1.20098071338906
34	WGN07	2.50000000000001	0.612756521478071	Inf	1.29901928661094	3.70098071338907
35	WGN07	1.00000000000004	0.612756521478068	Inf	-0.20098071338902	2.20098071338909
36	WGN07	0.500000000000039	0.612756521478068	Inf	-0.700980713389017	1.7009807133891
37	WGN07	-5.72528136011385e-14	0.612756521478083	Inf	-1.20098071338914	1.20098071338903
38	WGN07	0.500000000000033	0.61275652147806	Inf	-0.700980713389009	1.70098071338907
39	WGN07	2.49999999999999	0.612756521478072	Inf	1.29901928661093	3.70098071338906
40	WGN07	1.40235045797965e-14	0.612756521478062	Inf	-1.20098071338903	1.20098071338906
41	WGN07	1.9999999999999	0.61275652147807	Inf	0.799019286610842	3.20098071338896
42	WGN07	2.40155118014229e-14	0.612756521478063	Inf	-1.20098071338902	1.20098071338907
44	WGN07	0.500000000000004	0.61275652147806	Inf	-0.700980713389038	1.70098071338905
46	WGN07	1.00000000000006	0.61275652147805	Inf	-0.200980713388959	2.20098071338909
47	WGN07	0.499999999999994	0.61275652147807	Inf	-0.700980713389068	1.70098071338905
48	WGN07	1	0.612756521478076	Inf	-0.20098071338907	2.20098071338908
49	WGN07	-3.08295056150598e-14	0.612756521478067	Inf	-1.20098071338909	1.20098071338902
50	WGN07	1.00000000000001	0.612756521478074	Inf	-0.20098071338906	2.20098071338908
51	WGN07	2.00000000000002	0.612756521478065	Inf	0.799019286610969	3.20098071338907
52	WGN07	3.00000000000003	0.612756521478048	Inf	1.79901928661101	4.20098071338905
53	WGN07	2.82343592949985e-14	0.612756521478067	Inf	-1.20098071338903	1.20098071338908
54	WGN07	0.046195652173819	0.866764794721037	Inf	-1.65263212854667	1.7450234328943
55	WGN07	-7.2927774930065e-15	0.612756521478066	Inf	-1.20098071338906	1.20098071338905
56	WGN07	0.500000000000113	0.612756521478038	Inf	-0.700980713388885	1.70098071338911
57	WGN07	0.499999999999949	0.612756521478072	Inf	-0.700980713389116	1.70098071338901
58	WGN07	4.49999999999995	0.612756521478064	Inf	3.2990192866109	5.700980713389
59	WGN07	0.500000000000007	0.612756521478065	Inf	-0.700980713389044	1.70098071338906
60	WGN07	2.15730211472476e-14	0.61275652147806	Inf	-1.20098071338902	1.20098071338906
61	WGN07	2.99999999999994	0.612756521478065	Inf	1.79901928661089	4.20098071338899
63	WGN07	8.59659565755067e-14	0.612756521478062	Inf	-1.20098071338896	1.20098071338913
64	WGN07	0.500000000000031	0.61275652147807	Inf	-0.70098071338903	1.70098071338909
66	WGN07	1.00000000000005	0.612756521478056	Inf	-0.200980713388984	2.20098071338908
